number,name,method,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
1,Adiac,SAX,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4322250639386189
1,Adiac,SAX,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.20460358056265984
1,Adiac,SAX,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.22762148337595908
1,Adiac,SAX,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.19948849104859334
1,Adiac,SAX,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.24296675191815856
1,Adiac,SAX,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.21227621483375958
1,Adiac,SAX,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.21739130434782608
1,Adiac,SAX,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.22250639386189258
1,Adiac,SAX,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.21483375959079284
1,Adiac,SAX,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.22250639386189258
1,Adiac,SAX,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.21483375959079284
1,Adiac,SFA,0,5,3.0,4.0,32.0,16.0,128.0,uniform,transformer,0.0,,,,,0.020460358056265986
1,Adiac,SFA,1,5,3.0,4.0,32.0,16.0,128.0,uniform,transformer,0.0,,,,,0.023017902813299233
1,Adiac,SFA,2,5,3.0,4.0,32.0,16.0,128.0,uniform,transformer,0.0,,,,,0.49104859335038364
1,Adiac,SFA,3,5,3.0,4.0,32.0,16.0,128.0,uniform,transformer,0.0,,,,,0.5089514066496164
1,Adiac,SFA,4,5,3.0,4.0,32.0,16.0,128.0,uniform,transformer,0.0,,,,,0.4859335038363171
1,Adiac,SFA,0,6,3.0,4.0,32.0,16.0,128.0,quantile,transformer,0.0,,,,,0.4040920716112532
1,Adiac,SFA,1,6,3.0,4.0,32.0,16.0,128.0,quantile,transformer,0.0,,,,,0.02557544757033248
1,Adiac,SFA,2,6,3.0,4.0,32.0,16.0,128.0,quantile,transformer,0.0,,,,,0.38618925831202044
1,Adiac,SFA,3,6,3.0,4.0,32.0,16.0,128.0,quantile,transformer,0.0,,,,,0.35038363171355497
1,Adiac,SFA,4,6,3.0,4.0,32.0,16.0,128.0,quantile,transformer,0.0,,,,,0.4398976982097187
1,Adiac,SFA,0,5,3.0,4.0,128.0,64.0,256.0,quantile,transformer,0.0,,,,,0.37084398976982097
1,Adiac,SFA,1,5,3.0,4.0,128.0,64.0,256.0,quantile,transformer,0.0,,,,,0.38107416879795397
1,Adiac,SFA,2,5,3.0,4.0,128.0,64.0,256.0,quantile,transformer,0.0,,,,,0.35805626598465473
1,Adiac,SFA,3,5,3.0,4.0,128.0,64.0,256.0,quantile,transformer,0.0,,,,,0.3248081841432225
1,Adiac,SFA,4,5,3.0,4.0,128.0,64.0,256.0,quantile,transformer,0.0,,,,,0.340153452685422
1,Adiac,SFA,0,6,3.0,4.0,128.0,64.0,128.0,quantile,transformer,0.0,,,,,0.43478260869565216
1,Adiac,SFA,1,6,3.0,4.0,128.0,64.0,128.0,quantile,transformer,0.0,,,,,0.40664961636828645
1,Adiac,SFA,2,6,3.0,4.0,128.0,64.0,128.0,quantile,transformer,0.0,,,,,0.4040920716112532
